FF 51 03 07 A1 20,C major
FF 58 04 04 02 18 08,C major
FF 01 18 68 61 72 70 73 69 63 68 6F 72 64 3A 20 4A 6F 68 6E 20 53 61 6E 6B 65 79,C major
C0 06,C major
92 4A 7F,C major,0.00390625
90 3C 7F,C major
82 4A 7F,C major,0.231770833333
94 4C 7F,C major,0.00260416666667
84 4C 7F,C major,0.231770833333
95 4D 7F,C major,0.00390625
85 4D 7F,C major,0.231770833333
97 4F 7F,C major,0.00260416666667
87 4F 7F,C major,0.231770833333
94 4C 7F,C major,0.00260416666667
84 4C 7F,C major,0.231770833333
95 4D 7F,C major,0.00260416666667
85 4D 7F,C major,0.231770833333
92 4A 7F,C major,0.00390625
82 4A 7F,C major,0.231770833333
92 4A 7F,C major,0.00260416666667
80 3C 7F,C major,0.213541666667
82 4A 7F,C major,0.0182291666667
94 4C 7F,C major,0.00260416666667
97 37 7F,C major
95 4D 7F,C major,0.1171875
84 4C 7F,C major,0.0078125
87 37 7F,C major,0.102864583333
94 4C 7F,C major,0.00520833333333
9A 39 7F,C major
85 4D 7F,C major,0.00911458333333
95 4D 7F,C major,0.0989583333333
84 4C 7F,C major,0.0078125
94 4C 7F,C major,0.0989583333333
85 4D 7F,C major,0.00911458333333
8A 39 7F,C major,0.00520833333333
9B 3A 7F,C major,0.00651041666667
95 4D 7F,C major,0.0859375
84 4C 7F,C major,0.00520833333333
94 4C 7F,C major,0.0989583333333
85 4D 7F,C major,0.00651041666667
8B 3A 7F,C major,0.0325520833333
90 3C 7F,C major,0.00520833333333
95 4D 7F,C major,0.05078125
84 4C 7F,C major,0.01171875
94 4C 7F,C major,0.0833333333333
85 4D 7F,C major,0.01171875
80 3C 7F,C major,0.0716145833333
9A 39 7F,C major,0.00520833333333
8A 39 7F,C major,0.229166666667
9B 3A 7F,C major,0.00520833333333
8B 3A 7F,C major,0.229166666667
97 37 7F,C major,0.00651041666667
87 37 7F,C major,0.229166666667
9A 39 7F,C major,0.00520833333333
84 4C 7F,C major,0.18359375
90 48 7F,C major,0.0494791666667
80 48 7F,C major,0.21875
8A 39 7F,C major,0.0104166666667
92 4A 7F,C major,0.00520833333333
9B 3A 7F,C major
82 4A 7F,C major,0.21875
94 4C 7F,C major,0.0169270833333
84 4C 7F,C major,0.21875
8B 3A 7F,C major,0.00911458333333
95 4D 7F,C major,0.00651041666667
9A 39 7F,C major
85 4D 7F,C major,0.231770833333
92 4A 7F,C major,0.00260416666667
82 4A 7F,C major,0.21875
8A 39 7F,C major,0.0104166666667
94 4C 7F,C major,0.00520833333333
97 37 7F,C major
84 4C 7F,C major,0.231770833333
90 48 7F,C major,0.00390625
80 48 7F,C major,0.21875
87 37 7F,C major,0.00911458333333
92 4A 7F,C major,0.00651041666667
95 35 7F,C major
82 4A 7F,C major,0.231770833333
94 4C 7F,C major,0.00260416666667
84 4C 7F,C major,0.21875
85 35 7F,C major,0.0104166666667
95 4D 7F,C major,0.00520833333333
92 3E 7F,C major
85 4D 7F,C major,0.21875
97 4F 7F,C major,0.0169270833333
87 4F 7F,C major,0.21875
82 3E 7F,C major,0.00911458333333
9A 51 7F,C major,0.00651041666667
90 3C 7F,C major
8A 51 7F,C major,0.231770833333
95 4D 7F,C major,0.00260416666667
85 4D 7F,C major,0.21875
80 3C 7F,C major,0.0104166666667
97 4F 7F,C major,0.00520833333333
9B 3A 7F,C major
87 4F 7F,C major,0.231770833333
94 4C 7F,C major,0.00390625
84 4C 7F,C major,0.21875
8B 3A 7F,C major,0.00911458333333
95 4D 7F,C major,0.00651041666667
9A 39 7F,C major
85 4D 7F,C major,0.231770833333
97 4F 7F,C major,0.00260416666667
87 4F 7F,C major,0.21875
8A 39 7F,C major,0.0104166666667
9A 51 7F,C major,0.00520833333333
95 41 7F,C major
8A 51 7F,C major,0.21875
9C 53 7F,C major,0.0169270833333
8C 53 7F,C major,0.21875
85 41 7F,C major,0.00911458333333
90 54 7F,C major,0.00651041666667
94 40 7F,C major
80 54 7F,C major,0.231770833333
9A 51 7F,C major,0.00260416666667
8A 51 7F,C major,0.21875
84 40 7F,C major,0.0104166666667
9C 53 7F,C major,0.00520833333333
92 3E 7F,C major
8C 53 7F,C major,0.231770833333
97 4F 7F,C major,0.00390625
87 4F 7F,C major,0.21875
82 3E 7F,C major,0.00911458333333
94 40 7F,C major,0.02734375
90 54 7F,C major
84 40 7F,C major,0.233072916667
92 32 7F,C major,0.00651041666667
80 54 7F,C major,0.205729166667
82 32 7F,C major,0.0260416666667
94 34 7F,C major,0.00520833333333
97 4F 7F,C major
84 34 7F,C major,0.233072916667
95 35 7F,C major,0.00520833333333
87 4F 7F,C major,0.20703125
85 35 7F,C major,0.0247395833333
95 4D 7F,C major,0.00651041666667
97 37 7F,C major
85 4D 7F,C major,0.115885416667
94 4C 7F,C major,0.00260416666667
87 37 7F,C major,0.114583333333
84 4C 7F,C major,0.00130208333333
95 4D 7F,C major,0.00390625
94 34 7F,C major
85 4D 7F,C major,0.115885416667
94 4C 7F,C major,0.00390625
84 34 7F,C major,0.11328125
84 4C 7F,C major,0.00260416666667
92 4A 7F,C major,0.00260416666667
95 35 7F,C major
85 35 7F,C major,0.233072916667
90 48 7F,C major,0.00130208333333
82 4A 7F,C major,0.00130208333333
92 32 7F,C major,0.00390625
80 48 7F,C major,0.204427083333
82 32 7F,C major,0.02734375
90 48 7F,C major,0.015625
94 34 7F,C major
80 48 7F,C major,0.24609375
9B 46 7F,C major,0.00390625
8B 46 7F,C major,0.233072916667
84 34 7F,C major,0.0104166666667
9A 45 7F,C major,0.00520833333333
90 30 7F,C major
8A 45 7F,C major,0.24609375
97 43 7F,C major,0.00390625
87 43 7F,C major,0.233072916667
80 30 7F,C major,0.0104166666667
95 41 7F,C major,0.00651041666667
92 32 7F,C major
85 41 7F,C major,0.24609375
9A 45 7F,C major,0.00260416666667
8A 45 7F,C major,0.233072916667
82 32 7F,C major,0.01171875
97 43 7F,C major,0.00520833333333
94 34 7F,C major
87 43 7F,C major,0.24609375
9B 46 7F,C major,0.00260416666667
8B 46 7F,C major,0.233072916667
84 34 7F,C major,0.01171875
9A 45 7F,C major,0.00520833333333
95 35 7F,C major
85 35 7F,C major,0.259114583333
8A 45 7F,C major,0.00260416666667
9C 47 7F,C major,0.00390625
92 32 7F,C major
82 32 7F,C major,0.259114583333
8C 47 7F,C major,0.00260416666667
90 48 7F,C major,0.00390625
94 34 7F,C major
84 34 7F,C major,0.259114583333
94 40 7F,C major,0.00651041666667
95 35 7F,C major
84 40 7F,C major,0.248697916667
85 35 7F,C major,0.0104166666667
92 3E 7F,C major,0.00651041666667
97 37 7F,C major
80 48 7F,C major,0.270833333333
90 48 7F,C major,0.0247395833333
82 3E 7F,C major,0.291666666667
95 41 7F,C major,0.00651041666667
97 2B 7F,C major
87 37 7F,C major,0.272135416667
80 48 7F,C major,0.0182291666667
9C 47 7F,C major,0.0078125
87 2B 7F,C major,0.290364583333
85 41 7F,C major
8C 47 7F,C major,0.00260416666667
90 24 7F,C major,0.03515625
90 48 7F,C major
97 43 7F,C major
94 40 7F,C major
84 40 7F,C major,3.71354166667
87 43 7F,C major
80 48 7F,C major
80 24 7F,C major
FF 2F 00,C major,4.96223958333

FF 51 03 07 A1 20,c minor
FF 58 04 04 02 18 08,c minor
FF 01 18 68 61 72 70 73 69 63 68 6F 72 64 3A 20 4A 6F 68 6E 20 53 61 6E 6B 65 79,c minor
C0 06,c minor
E0 00 40,c minor
C1 06,c minor
E1 70 3C,c minor
C2 06,c minor
E2 44 3D,c minor
C3 06,c minor
E3 10 3E,c minor
C4 06,c minor
E4 70 3C,c minor
C5 06,c minor
E5 30 3F,c minor
C6 06,c minor
E6 20 3C,c minor
C7 06,c minor
E7 65 3E,c minor
C8 06,c minor
E8 40 3D,c minor
CA 06,c minor
EA 20 3C,c minor
CB 06,c minor
EB 60 3E,c minor
CC 06,c minor
EC 40 3D,c minor
FF 03 07 54 72 61 63 6B 20 31,c minor
FF 03 04 4D 49 44 49,c minor
90 48 7F,c minor,0.196614583333
80 48 7F,c minor,0.225260416667
9C 47 7F,c minor,0.00260416666667
8C 47 7F,c minor,0.225260416667
90 48 7F,c minor,0.00260416666667
80 48 7F,c minor,0.225260416667
92 4A 7F,c minor,0.00260416666667
82 4A 7F,c minor,0.225260416667
93 4B 7F,c minor,0.00260416666667
83 4B 7F,c minor,0.225260416667
97 43 7F,c minor,0.00260416666667
87 43 7F,c minor,0.225260416667
98 44 7F,c minor,0.00390625
88 44 7F,c minor,0.225260416667
9B 46 7F,c minor,0.00260416666667
8B 46 7F,c minor,0.225260416667
98 44 7F,c minor,0.00260416666667
88 44 7F,c minor,0.225260416667
95 41 7F,c minor,0.00260416666667
85 41 7F,c minor,0.225260416667
95 4D 7F,c minor,0.00260416666667
85 4D 7F,c minor,0.225260416667
93 4B 7F,c minor,0.00260416666667
83 4B 7F,c minor,0.225260416667
92 4A 7F,c minor,0.00260416666667
82 4A 7F,c minor,0.225260416667
90 48 7F,c minor,0.00260416666667
80 48 7F,c minor,0.225260416667
9C 47 7F,c minor,0.00260416666667
8C 47 7F,c minor,0.225260416667
98 50 7F,c minor,0.00260416666667
88 50 7F,c minor,0.225260416667
97 4F 7F,c minor,0.00390625
87 4F 7F,c minor,0.225260416667
95 4D 7F,c minor,0.00260416666667
85 4D 7F,c minor,0.225260416667
93 4B 7F,c minor,0.00260416666667
83 4B 7F,c minor,0.225260416667
92 4A 7F,c minor,0.00260416666667
82 4A 7F,c minor,0.225260416667
90 48 7F,c minor,0.00260416666667
80 48 7F,c minor,0.225260416667
9C 47 7F,c minor,0.00260416666667
8C 47 7F,c minor,0.225260416667
90 48 7F,c minor,0.00260416666667
80 48 7F,c minor,0.225260416667
92 4A 7F,c minor,0.00260416666667
82 4A 7F,c minor,0.225260416667
90 48 7F,c minor,0.00260416666667
80 48 7F,c minor,0.225260416667
92 4A 7F,c minor,0.00260416666667
82 4A 7F,c minor,0.225260416667
93 4B 7F,c minor,0.00390625
83 4B 7F,c minor,0.108072916667
92 4A 7F,c minor,0.00520833333333
82 4A 7F,c minor,0.108072916667
93 4B 7F,c minor,0.00651041666667
83 4B 7F,c minor,0.108072916667
92 4A 7F,c minor,0.00520833333333
82 4A 7F,c minor,0.108072916667
93 4B 7F,c minor,0.00651041666667
83 4B 7F,c minor,0.108072916667
92 4A 7F,c minor,0.00520833333333
82 4A 7F,c minor,0.108072916667
90 48 7F,c minor,0.00651041666667
80 48 7F,c minor,0.108072916667
92 4A 7F,c minor,0.00520833333333
82 4A 7F,c minor,0.108072916667
93 4B 7F,c minor,0.00651041666667
83 4B 7F,c minor,0.225260416667
92 4A 7F,c minor,0.00260416666667
82 4A 7F,c minor,0.225260416667
90 3C 7F,c minor,0.00260416666667
90 48 7F,c minor
80 3C 7F,c minor,0.221354166667
80 48 7F,c minor,0.00390625
9C 3B 7F,c minor,0.00260416666667
92 4A 7F,c minor
8C 3B 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00390625
90 3C 7F,c minor,0.00260416666667
93 4B 7F,c minor
80 3C 7F,c minor,0.221354166667
83 4B 7F,c minor,0.00390625
92 3E 7F,c minor,0.00260416666667
95 4D 7F,c minor
82 3E 7F,c minor,0.221354166667
85 4D 7F,c minor,0.00390625
93 3F 7F,c minor,0.00390625
97 4F 7F,c minor
97 37 7F,c minor,0.2265625
83 3F 7F,c minor,0.00911458333333
87 4F 7F,c minor,0.046875
87 37 7F,c minor,0.165364583333
98 38 7F,c minor,0.00651041666667
98 50 7F,c minor
88 50 7F,c minor,0.108072916667
97 4F 7F,c minor,0.00520833333333
87 4F 7F,c minor,0.108072916667
88 38 7F,c minor
9B 3A 7F,c minor,0.00651041666667
98 50 7F,c minor
88 50 7F,c minor,0.108072916667
97 4F 7F,c minor,0.00520833333333
87 4F 7F,c minor,0.108072916667
8B 3A 7F,c minor
98 38 7F,c minor,0.00651041666667
95 4D 7F,c minor
88 38 7F,c minor,0.221354166667
95 35 7F,c minor,0.00651041666667
85 35 7F,c minor,0.221354166667
95 41 7F,c minor,0.00651041666667
85 41 7F,c minor,0.221354166667
93 3F 7F,c minor,0.00651041666667
85 4D 7F,c minor,0.123697916667
83 3F 7F,c minor,0.09765625
92 3E 7F,c minor,0.00651041666667
95 4D 7F,c minor
82 3E 7F,c minor,0.221354166667
90 3C 7F,c minor,0.00651041666667
80 3C 7F,c minor,0.221354166667
85 4D 7F,c minor,0.00130208333333
9C 3B 7F,c minor,0.00520833333333
97 4F 7F,c minor
87 4F 7F,c minor,0.108072916667
95 4D 7F,c minor,0.00651041666667
8C 3B 7F,c minor,0.106770833333
85 4D 7F,c minor,0.00130208333333
98 44 7F,c minor,0.00651041666667
97 4F 7F,c minor
87 4F 7F,c minor,0.108072916667
95 4D 7F,c minor,0.00520833333333
85 4D 7F,c minor,0.108072916667
88 44 7F,c minor
97 43 7F,c minor,0.00651041666667
93 4B 7F,c minor
87 43 7F,c minor,0.221354166667
95 41 7F,c minor,0.00651041666667
85 41 7F,c minor,0.221354166667
93 3F 7F,c minor,0.00651041666667
83 3F 7F,c minor,0.221354166667
92 3E 7F,c minor,0.00651041666667
83 4B 7F,c minor,0.123697916667
82 3E 7F,c minor,0.09765625
90 3C 7F,c minor,0.00651041666667
92 4A 7F,c minor
80 3C 7F,c minor,0.221354166667
9C 3B 7F,c minor,0.00651041666667
8C 3B 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00130208333333
90 3C 7F,c minor,0.00520833333333
93 4B 7F,c minor
80 3C 7F,c minor,0.221354166667
92 3E 7F,c minor,0.00651041666667
83 4B 7F,c minor,0.126302083333
82 3E 7F,c minor,0.0950520833333
90 3C 7F,c minor,0.00651041666667
98 44 7F,c minor
80 3C 7F,c minor,0.221354166667
92 3E 7F,c minor,0.0078125
82 3E 7F,c minor,0.221354166667
93 3F 7F,c minor,0.00651041666667
83 3F 7F,c minor,0.108072916667
92 3E 7F,c minor,0.00520833333333
82 3E 7F,c minor,0.108072916667
88 44 7F,c minor
93 3F 7F,c minor,0.00651041666667
95 41 7F,c minor
83 3F 7F,c minor,0.108072916667
92 3E 7F,c minor,0.00520833333333
82 3E 7F,c minor,0.108072916667
85 41 7F,c minor,0.00390625
93 3F 7F,c minor,0.00260416666667
9B 46 7F,c minor
83 3F 7F,c minor,0.108072916667
92 3E 7F,c minor,0.00520833333333
82 3E 7F,c minor,0.108072916667
8B 46 7F,c minor,0.00390625
90 3C 7F,c minor,0.00260416666667
95 41 7F,c minor
80 3C 7F,c minor,0.108072916667
92 3E 7F,c minor,0.00651041666667
82 3E 7F,c minor,0.108072916667
85 41 7F,c minor,0.00260416666667
93 3F 7F,c minor,0.00260416666667
97 43 7F,c minor
83 3F 7F,c minor,0.221354166667
92 3E 7F,c minor,0.00651041666667
87 43 7F,c minor,0.126302083333
82 3E 7F,c minor,0.0950520833333
90 3C 7F,c minor,0.00651041666667
93 4B 7F,c minor
80 3C 7F,c minor,0.221354166667
92 3E 7F,c minor,0.00651041666667
82 3E 7F,c minor,0.221354166667
93 3F 7F,c minor,0.00651041666667
83 3F 7F,c minor,0.221354166667
83 4B 7F,c minor,0.00130208333333
95 41 7F,c minor,0.00651041666667
92 4A 7F,c minor
85 41 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00390625
97 43 7F,c minor,0.00260416666667
93 4B 7F,c minor
83 4B 7F,c minor,0.225260416667
9B 46 7F,c minor,0.00260416666667
87 43 7F,c minor,0.22265625
8B 46 7F,c minor,0.00260416666667
98 44 7F,c minor,0.00260416666667
90 48 7F,c minor
88 44 7F,c minor,0.108072916667
97 43 7F,c minor,0.00520833333333
87 43 7F,c minor,0.108072916667
80 48 7F,c minor,0.00390625
98 44 7F,c minor,0.00260416666667
93 4B 7F,c minor
88 44 7F,c minor,0.108072916667
97 43 7F,c minor,0.00651041666667
87 43 7F,c minor,0.108072916667
83 4B 7F,c minor,0.00260416666667
95 41 7F,c minor,0.00260416666667
98 50 7F,c minor
88 50 7F,c minor,0.225260416667
97 4F 7F,c minor,0.00260416666667
87 4F 7F,c minor,0.225260416667
95 4D 7F,c minor,0.00260416666667
85 4D 7F,c minor,0.225260416667
93 4B 7F,c minor,0.00260416666667
85 41 7F,c minor,0.123697916667
83 4B 7F,c minor,0.1015625
95 41 7F,c minor,0.00260416666667
92 4A 7F,c minor
82 4A 7F,c minor,0.225260416667
90 48 7F,c minor,0.00390625
85 41 7F,c minor,0.221354166667
80 48 7F,c minor,0.00390625
97 43 7F,c minor,0.00260416666667
9B 46 7F,c minor
87 43 7F,c minor,0.108072916667
95 41 7F,c minor,0.00520833333333
85 41 7F,c minor,0.108072916667
8B 46 7F,c minor,0.00390625
97 43 7F,c minor,0.00260416666667
92 4A 7F,c minor
87 43 7F,c minor,0.108072916667
95 41 7F,c minor,0.00520833333333
85 41 7F,c minor,0.108072916667
82 4A 7F,c minor,0.00390625
93 3F 7F,c minor,0.00260416666667
97 4F 7F,c minor
87 4F 7F,c minor,0.225260416667
95 4D 7F,c minor,0.00260416666667
85 4D 7F,c minor,0.225260416667
93 4B 7F,c minor,0.00260416666667
83 4B 7F,c minor,0.225260416667
92 4A 7F,c minor,0.00260416666667
83 3F 7F,c minor,0.145833333333
82 4A 7F,c minor,0.078125
92 3E 7F,c minor,0.00260416666667
90 48 7F,c minor
80 48 7F,c minor,0.225260416667
9B 46 7F,c minor,0.00260416666667
82 3E 7F,c minor,0.22265625
8B 46 7F,c minor,0.00260416666667
93 3F 7F,c minor,0.00260416666667
98 44 7F,c minor
88 44 7F,c minor,0.225260416667
90 48 7F,c minor,0.00390625
83 3F 7F,c minor,0.196614583333
80 48 7F,c minor,0.02734375
98 38 7F,c minor,0.00260416666667
95 4D 7F,c minor
85 4D 7F,c minor,0.225260416667
90 48 7F,c minor,0.00260416666667
80 48 7F,c minor,0.225260416667
92 4A 7F,c minor,0.00260416666667
82 4A 7F,c minor,0.108072916667
90 48 7F,c minor,0.00520833333333
80 48 7F,c minor,0.108072916667
88 38 7F,c minor,0.00130208333333
95 35 7F,c minor,0.00520833333333
92 4A 7F,c minor
85 35 7F,c minor,0.221354166667
9B 3A 7F,c minor,0.00651041666667
8B 3A 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00130208333333
95 35 7F,c minor,0.00520833333333
92 4A 7F,c minor
85 35 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00390625
97 37 7F,c minor,0.00260416666667
93 4B 7F,c minor
83 4B 7F,c minor,0.225260416667
9B 46 7F,c minor,0.00260416666667
87 37 7F,c minor,0.22265625
8B 46 7F,c minor,0.00260416666667
93 3F 7F,c minor,0.00260416666667
90 48 7F,c minor
83 3F 7F,c minor,0.108072916667
92 3E 7F,c minor,0.00651041666667
82 3E 7F,c minor,0.108072916667
80 48 7F,c minor,0.00260416666667
93 3F 7F,c minor,0.00390625
9B 46 7F,c minor
8B 46 7F,c minor,0.225260416667
97 4F 7F,c minor,0.00260416666667
87 4F 7F,c minor,0.108072916667
95 4D 7F,c minor,0.00520833333333
85 4D 7F,c minor,0.108072916667
83 3F 7F,c minor,0.00130208333333
92 3E 7F,c minor,0.00520833333333
97 4F 7F,c minor
82 3E 7F,c minor,0.221354166667
93 3F 7F,c minor,0.00651041666667
83 3F 7F,c minor,0.221354166667
9B 3A 7F,c minor,0.00651041666667
8B 3A 7F,c minor,0.221354166667
90 3C 7F,c minor,0.00651041666667
87 4F 7F,c minor,0.123697916667
80 3C 7F,c minor,0.09765625
93 3F 7F,c minor,0.00651041666667
9B 46 7F,c minor
83 3F 7F,c minor,0.221354166667
8B 46 7F,c minor,0.00390625
98 44 7F,c minor,0.00260416666667
90 48 7F,c minor
88 44 7F,c minor,0.221354166667
80 48 7F,c minor,0.00390625
97 43 7F,c minor,0.00260416666667
9B 46 7F,c minor
87 43 7F,c minor,0.221354166667
8B 46 7F,c minor,0.00390625
95 41 7F,c minor,0.00260416666667
98 50 7F,c minor
88 50 7F,c minor,0.108072916667
97 4F 7F,c minor,0.00651041666667
85 41 7F,c minor,0.106770833333
87 4F 7F,c minor,0.00130208333333
93 3F 7F,c minor,0.00651041666667
98 50 7F,c minor
83 3F 7F,c minor,0.221354166667
92 3E 7F,c minor,0.00651041666667
82 3E 7F,c minor,0.221354166667
90 3C 7F,c minor,0.00651041666667
80 3C 7F,c minor,0.221354166667
9B 3A 7F,c minor,0.00651041666667
88 50 7F,c minor,0.145833333333
8B 3A 7F,c minor,0.07421875
92 3E 7F,c minor,0.00651041666667
9B 46 7F,c minor
82 3E 7F,c minor,0.221354166667
8B 46 7F,c minor,0.00390625
97 43 7F,c minor,0.00260416666667
93 4B 7F,c minor
87 43 7F,c minor,0.221354166667
83 4B 7F,c minor,0.00390625
95 41 7F,c minor,0.00260416666667
92 4A 7F,c minor
85 41 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00390625
93 3F 7F,c minor,0.00260416666667
97 4F 7F,c minor
83 3F 7F,c minor,0.221354166667
87 4F 7F,c minor,0.00390625
92 3E 7F,c minor,0.00260416666667
95 4D 7F,c minor
82 3E 7F,c minor,0.221354166667
85 4D 7F,c minor,0.00390625
90 3C 7F,c minor,0.00260416666667
98 50 7F,c minor
80 3C 7F,c minor,0.221354166667
88 50 7F,c minor,0.00390625
9B 3A 7F,c minor,0.00260416666667
97 4F 7F,c minor
8B 3A 7F,c minor,0.221354166667
87 4F 7F,c minor,0.00390625
98 38 7F,c minor,0.00390625
90 54 7F,c minor
88 38 7F,c minor,0.221354166667
80 54 7F,c minor,0.00390625
90 3C 7F,c minor,0.00260416666667
9B 52 7F,c minor
80 3C 7F,c minor,0.221354166667
8B 52 7F,c minor,0.00390625
95 41 7F,c minor,0.00260416666667
98 50 7F,c minor
85 41 7F,c minor,0.221354166667
88 50 7F,c minor,0.00390625
90 3C 7F,c minor,0.00260416666667
97 4F 7F,c minor
80 3C 7F,c minor,0.221354166667
87 4F 7F,c minor,0.00390625
93 3F 7F,c minor,0.00260416666667
95 4D 7F,c minor
83 3F 7F,c minor,0.108072916667
92 3E 7F,c minor,0.00651041666667
82 3E 7F,c minor,0.108072916667
85 4D 7F,c minor,0.00260416666667
93 3F 7F,c minor,0.00260416666667
9B 52 7F,c minor
83 3F 7F,c minor,0.108072916667
92 3E 7F,c minor,0.00651041666667
82 3E 7F,c minor,0.108072916667
8B 52 7F,c minor,0.00260416666667
93 3F 7F,c minor,0.00260416666667
98 50 7F,c minor
83 3F 7F,c minor,0.108072916667
92 3E 7F,c minor,0.00651041666667
82 3E 7F,c minor,0.108072916667
88 50 7F,c minor,0.00260416666667
90 3C 7F,c minor,0.00260416666667
9B 52 7F,c minor
80 3C 7F,c minor,0.108072916667
92 3E 7F,c minor,0.00651041666667
82 3E 7F,c minor,0.108072916667
8B 52 7F,c minor,0.00260416666667
93 3F 7F,c minor,0.00260416666667
97 4F 7F,c minor
83 3F 7F,c minor,0.221354166667
87 4F 7F,c minor,0.00390625
9B 3A 7F,c minor,0.00260416666667
9B 52 7F,c minor
8B 3A 7F,c minor,0.221354166667
8B 52 7F,c minor,0.00390625
90 3C 7F,c minor,0.00390625
98 50 7F,c minor
80 3C 7F,c minor,0.221354166667
88 50 7F,c minor,0.00390625
9B 3A 7F,c minor,0.00260416666667
9B 52 7F,c minor
8B 3A 7F,c minor,0.221354166667
8B 52 7F,c minor,0.00390625
97 43 7F,c minor,0.00260416666667
93 4B 7F,c minor
87 43 7F,c minor,0.108072916667
95 41 7F,c minor,0.00520833333333
85 41 7F,c minor,0.108072916667
83 4B 7F,c minor,0.00390625
97 43 7F,c minor,0.00260416666667
97 4F 7F,c minor
87 4F 7F,c minor,0.225260416667
95 4D 7F,c minor,0.00260416666667
85 4D 7F,c minor,0.225260416667
97 4F 7F,c minor,0.00260416666667
87 4F 7F,c minor,0.225260416667
90 48 7F,c minor,0.00260416666667
87 43 7F,c minor,0.145833333333
80 48 7F,c minor,0.078125
9B 3A 7F,c minor,0.00260416666667
92 4A 7F,c minor
8B 3A 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00390625
90 3C 7F,c minor,0.00260416666667
93 4B 7F,c minor
80 3C 7F,c minor,0.221354166667
83 4B 7F,c minor,0.00390625
9B 3A 7F,c minor,0.00260416666667
95 4D 7F,c minor
8B 3A 7F,c minor,0.221354166667
85 4D 7F,c minor,0.00390625
98 44 7F,c minor,0.00390625
92 4A 7F,c minor
88 44 7F,c minor,0.108072916667
97 43 7F,c minor,0.00520833333333
87 43 7F,c minor,0.108072916667
82 4A 7F,c minor,0.00390625
98 44 7F,c minor,0.00260416666667
93 4B 7F,c minor
83 4B 7F,c minor,0.225260416667
95 4D 7F,c minor,0.00260416666667
85 4D 7F,c minor,0.225260416667
